Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.81,-.50,-.28,-.14,-.11,-.05,.05,.67
1881,-.09,-.18,-.01,-.36,.11,-.08,-.93,-.49,-.20,.11,.10,-.06,-.07,.60
1882,-.11,-.21,-.02,-.32,-.04,.01,-1.42,-.30,-.15,-.03,-.05,.00,.04,.63
1883,-.18,-.29,-.07,-.36,-.16,-.02,-.19,-.58,-.28,-.17,-.16,-.05,.07,.50
1884,-.29,-.43,-.15,-.62,-.14,-.14,-1.31,-.66,-.48,-.12,-.17,-.20,-.02,.65
1885,-.34,-.44,-.25,-.67,-.13,-.28,-1.51,-.70,-.47,-.06,-.21,-.34,-.15,.82
1886,-.32,-.44,-.20,-.58,-.20,-.22,-1.59,-.51,-.41,-.21,-.19,-.21,-.20,.59
1887,-.37,-.44,-.29,-.54,-.30,-.29,-1.77,-.52,-.30,-.29,-.31,-.28,-.26,.32
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.30,-.43,-.25,.07,.13,-.32,-.23,.16
1889,-.11,-.18,-.04,-.30,.08,-.17,-.68,-.23,-.28,.02,.14,-.16,-.15,.45
1890,-.36,-.39,-.33,-.47,-.37,-.23,-1.14,-.57,-.28,-.26,-.48,-.18,-.27,.15
1891,-.23,-.26,-.20,-.44,-.08,-.22,-1.12,-.35,-.37,.01,-.17,-.19,-.24,-.15
1892,-.28,-.40,-.16,-.44,-.30,-.08,-1.14,-.67,-.18,-.32,-.27,.02,-.21,.09
1893,-.31,-.47,-.16,-.51,-.36,-.05,-.61,-.55,-.48,-.41,-.31,.06,-.20,-.04
1894,-.30,-.38,-.22,-.32,-.33,-.24,-.90,-.33,-.19,-.47,-.19,-.15,-.35,-.37
1895,-.23,-.30,-.15,-.40,-.07,-.26,-.64,-.53,-.27,-.13,.00,-.20,-.32,-.58
1896,-.11,-.19,-.03,-.35,.10,-.16,-.82,-.37,-.23,.07,.14,-.16,-.13,.26
1897,-.11,-.16,-.05,-.35,.17,-.24,-.51,-.47,-.25,.15,.20,-.20,-.27,.41
1898,-.27,-.28,-.26,-.36,-.22,-.27,-1.14,-.25,-.24,-.17,-.27,-.28,-.21,.38
1899,-.17,-.20,-.14,-.24,-.11,-.19,-1.00,-.10,-.15,-.15,-.08,-.16,-.22,.59
1900,-.08,-.09,-.07,-.20,.18,-.30,-.53,-.16,-.16,.10,.26,-.29,-.29,.27
1901,-.15,-.12,-.18,-.16,-.03,-.31,-.35,-.11,-.15,-.04,-.01,-.28,-.34,.26
1902,-.28,-.33,-.22,-.54,-.03,-.35,-1.50,-.51,-.32,-.01,-.05,-.28,-.43,-.04
1903,-.37,-.37,-.36,-.47,-.28,-.39,-.21,-.42,-.57,-.22,-.33,-.36,-.40,-.49
1904,-.47,-.48,-.46,-.52,-.45,-.44,-.21,-.60,-.56,-.42,-.48,-.37,-.49,-1.32
1905,-.26,-.28,-.22,-.41,-.07,-.36,-.03,-.23,-.62,-.10,-.05,-.33,-.37,-.34
1906,-.22,-.23,-.21,-.26,-.18,-.23,-.25,-.07,-.40,-.19,-.17,-.21,-.22,-.71
1907,-.38,-.46,-.30,-.59,-.29,-.29,-.55,-.72,-.52,-.28,-.30,-.21,-.37,-1.20
1908,-.42,-.45,-.40,-.48,-.43,-.36,-.20,-.54,-.52,-.40,-.46,-.29,-.48,.67
1909,-.48,-.49,-.48,-.53,-.47,-.44,-.71,-.62,-.44,-.43,-.52,-.38,-.52,-.57
1910,-.43,-.44,-.43,-.42,-.48,-.38,-.58,-.24,-.50,-.47,-.50,-.33,-.45,.16
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.26,-.42,-.48,-.41,-.44,-.44,-.52,.05
1912,-.36,-.46,-.26,-.59,-.19,-.37,-.48,-.79,-.51,-.26,-.11,-.37,-.29,-1.63
1913,-.34,-.41,-.26,-.44,-.26,-.35,-.47,-.33,-.51,-.37,-.14,-.29,-.40,-1.04
1914,-.15,-.18,-.11,-.25,-.05,-.18,-.33,-.16,-.29,-.09,-.01,-.16,-.18,-.37
1915,-.14,-.13,-.13,-.23,.00,-.22,-.55,-.16,-.19,.01,-.01,-.15,-.23,-1.98
1916,-.35,-.41,-.31,-.37,-.44,-.23,-.47,-.54,-.25,-.47,-.40,-.23,-.17,-1.05
1917,-.45,-.56,-.36,-.50,-.62,-.19,-.77,-.50,-.44,-.66,-.58,-.23,-.09,.06
1918,-.29,-.39,-.20,-.41,-.32,-.14,-.98,-.27,-.36,-.37,-.28,-.06,-.23,-.28
1919,-.27,-.34,-.20,-.44,-.19,-.22,-.68,-.56,-.31,-.21,-.17,-.15,-.32,.20
1920,-.27,-.30,-.24,-.25,-.24,-.32,.00,-.20,-.35,-.36,-.12,-.19,-.48,-1.14
1921,-.18,-.10,-.26,.02,-.24,-.31,.01,.17,-.09,-.27,-.21,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.25,-.40,-.14,-.31,-.32,-.24,-.28,-.28
1923,-.26,-.21,-.31,-.15,-.29,-.34,.22,-.15,-.26,-.30,-.27,-.27,-.41,-.55
1924,-.27,-.17,-.36,-.12,-.25,-.43,.55,-.25,-.23,-.25,-.25,-.40,-.45,-.53
1925,-.22,-.13,-.30,-.04,-.23,-.37,-.03,.18,-.19,-.26,-.20,-.24,-.55,-.86
1926,-.10,.02,-.22,.02,.03,-.40,.57,.16,-.22,.03,.02,-.35,-.45,-.64
1927,-.21,-.13,-.29,-.13,-.15,-.38,.04,-.21,-.13,-.12,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.08,-.15,-.39,.67,-.17,-.23,-.13,-.16,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.27,-.45,.12,-.61,-.38,-.26,-.28,-.43,-.44,-1.08
1930,-.16,-.01,-.29,.04,-.10,-.42,.51,.05,-.11,-.08,-.13,-.33,-.46,-2.60
1931,-.09,.05,-.22,.01,.08,-.43,.57,-.04,-.14,.11,.05,-.42,-.40,-.41
1932,-.16,-.05,-.26,.03,-.16,-.35,.47,.20,-.21,-.18,-.14,-.21,-.53,-.99
